i,logB,maxloglikelihood,SNR_comb_signal,SNR_comb_median,SNR_comb_global,run_time,duration,amplitude_median,amplitude_plus,amplitude_minus,amplitude_global,phase_median,phase_plus,phase_minus,phase_global,spacing_median,spacing_plus,spacing_minus,spacing_global,width_median,fmin_median,fmax_median,duration_median
0,53.72088978868683,73.25497816873025,16.45855294635983,16.018974196499087,16.481999759270064,14:00:41.637731,50,0.017714925951546612,0.0012119001775516731,0.0012069057322257534,0.018222110518170593,4.469010690846411,0.19435520083077495,0.24347802271558727,4.533017871323478,5.020255810997094,0.00862100693217549,0.006415489768200722,5.018663108507915,5.0,50.0,300.0,50.0
1,49.65274591297336,68.18619996527356,16.46944488027821,15.814056942700415,15.91683243706434,13:07:43.024389,50,0.017456343819555305,0.001190622005778394,0.0011975289890955726,0.01757922479104118,4.477392043749539,0.21278652294306255,0.23030658544648297,4.411900553930974,5.013787163644757,0.0056271806967878035,0.0066568231227215335,5.01665428787111,5.0,50.0,300.0,50.0
2,63.18341464662208,82.35013850554316,16.507398634149084,16.820926750936497,16.943945903917314,13:39:27.918754,50,0.018532608902358694,0.0011256267124812314,0.001158044956025936,0.018670211219433065,4.6400630290598714,0.14547988255983846,0.33230451391557736,4.618557974325238,5.017391901521997,0.007055129836030183,0.004196365447475259,5.018064288134569,5.0,50.0,300.0,50.0
3,58.61597139509763,77.34120965336285,16.475859809093485,16.45028293577142,16.58856205049744,13:09:07.262915,50,0.018183535062303514,0.0011407664302880705,0.0011748824872770368,0.018344186173163003,4.073797658307751,0.18439698468684718,0.3241942260807984,4.087682506318335,5.02445306651217,0.007188796129137032,0.006381657397420248,5.02753592551861,5.0,50.0,300.0,50.0
4,42.58240273264714,62.34662887136526,16.418594414202225,15.19812612685893,15.55147393070976,14:06:05.062031,50,0.0168505236603811,0.0011614379434110277,0.0011732512066335993,0.01724294798741163,4.24482550231547,0.1807169997846021,0.12038098754950788,4.199756538534301,5.021299500368164,0.004238397811542782,0.003949127398441554,5.0216483720908425,5.0,50.0,300.0,50.0
5,48.48231523774919,67.40256095418113,16.42193616232886,15.682246867344412,15.826454159879352,13:09:42.887478,50,0.017362385634738627,0.0011841642336317681,0.00116490886176902,0.017522388476881534,4.5702502349610254,0.2269033419776143,0.1585246793248336,4.541123696596566,5.016211437613993,0.005130391023154601,0.005027588457743981,5.0161631482778235,5.0,50.0,300.0,50.0
6,71.61060886138976,91.48234618619854,16.399437677571512,17.563571184045745,17.720841818414808,13:30:05.739509,50,0.01948368206685547,0.00115922781222522,0.0011843493974137143,0.019656782994838036,4.681967937064058,0.11870772365185456,0.22213858000077114,4.704495699349615,5.017694240226066,0.005782259881736529,0.003830283326593964,5.017442257186785,5.0,50.0,300.0,50.0
7,84.87302604113354,104.73162979657869,16.479196645093246,18.39249594169983,18.6281067917207,14:07:29.878013,50,0.020351687386464493,0.0011230608263922137,0.0011747807744528216,0.020622312310343175,3.8288291321861667,0.16702014044547253,0.22134932403397922,3.6368103970918004,5.037127558232838,0.006971895668454131,0.006631852005520855,5.043383935139408,5.0,50.0,300.0,50.0
8,48.89059205822281,67.22428905782347,16.438224029395677,15.608295140602428,15.748886072262394,13:23:29.847647,50,0.017269232319948542,0.001164794466423532,0.0011926739897182154,0.01742880338958025,4.579046660571487,0.23684765935725238,0.2904945566955899,4.531089570973175,5.019848554717729,0.006397698188120415,0.007176462151838869,5.0213024643703985,5.0,50.0,300.0,50.0
9,39.53112656615481,57.75566095057617,16.414283110479367,14.887858928659407,15.403052434214484,14:07:06.324737,50,0.016469068333908758,0.001201405321575668,0.001227518566030282,0.01703984778858535,4.685435717748244,0.1960989993306006,4.181303675522981,4.733096748308221,5.006307562250228,0.007051617780169828,0.0065060550727684685,5.006502563695275,5.0,50.0,300.0,50.0
10,45.0267873066881,63.68031725901012,16.41184571772848,15.33500726747882,15.573375755922548,14:00:08.583334,50,0.017023013559411916,0.0012193036231963467,0.0011790108662120824,0.01729061362789498,4.170196029732913,0.23892512605104077,0.3195499806313351,4.134436860186766,5.031237838869822,0.007325716899886814,0.01400447909662006,5.033702432356577,5.0,50.0,300.0,50.0
11,41.81457237280353,60.85891055471857,16.428174225003517,15.067011514602628,15.145055896732183,14:48:45.278069,50,0.01667043168447362,0.0011410349254866899,0.001157587362608672,0.016733855791939464,4.4671821432762755,0.2943609254031623,0.27919196500146093,4.8080147019763695,5.016292379340566,0.007786803362960448,0.006495249425413796,5.009454873776385,5.0,50.0,300.0,50.0
12,27.465658667726906,46.03916660433665,16.430061152772556,13.777268877700829,13.850753263023398,14:18:27.908554,50,0.015265209113183567,0.0011783881907166758,0.001175204857418611,0.015356415368806761,4.147072975384406,0.29932176157713997,0.22440386011866842,3.9245080844868196,5.023137669901585,0.005633842151338442,0.006869587955037559,5.02830330619186,5.0,50.0,300.0,50.0
13,44.709938584732605,63.011331499102184,16.46972574778362,15.291175722660647,15.786836511625495,13:20:11.952128,50,0.016877097293151372,0.001230994556161366,0.0011654367392773257,0.017418406864131136,4.64262382748415,0.23507048404099518,0.24474272983439693,4.737990942384816,5.012774325614105,0.0064918617408791235,0.005410894923542742,5.0111444190359595,5.0,50.0,300.0,50.0
14,51.22387874888929,70.16422946194106,16.458153583771292,15.813833070097397,16.053197219955393,14:27:09.614105,50,0.017496036101911413,0.0011801062222809335,0.0011553292776669,0.017765280410665593,3.9844372981388885,0.2597628794888944,0.2123164782735647,3.847974929394616,5.031559884628041,0.005783490343501008,0.0068444912644123335,5.033790586390903,5.0,50.0,300.0,50.0
15,28.032607963690978,46.28340845665364,16.43312621165104,13.7552382194606,13.97672078538102,13:52:10.020166,50,0.015211960225472377,0.0011642275013744458,0.001160322994335142,0.015450667732550672,4.615862181605911,0.26046364261454347,0.341248619134082,4.711563939949755,5.018076241777169,0.00765279565625665,0.006346002639139314,5.015939514788788,5.0,50.0,300.0,50.0
16,55.57939014256358,74.82381156937473,16.43468007554279,16.23512523811492,16.736189380186747,13:57:48.222627,50,0.017934218169628088,0.0011518730833225306,0.0011457722904494073,0.018495241501323083,4.721389968056431,0.10580828524008634,0.16484856494206745,4.723733437213423,5.007572026497879,0.005045623499834839,0.005681078189313737,5.009535479887848,5.0,50.0,300.0,50.0
17,36.28537034021388,54.39860881586317,16.425006376151533,14.535298590458439,15.004023365527475,13:42:08.157794,50,0.01613163289221031,0.0011350989564820509,0.0012515179921240467,0.01664878431543675,3.5468765907139743,0.6099262034797746,0.3080518308020883,3.3727745543352547,5.037887791926966,0.008490030164745477,0.012868498276128904,5.038359680228299,5.0,50.0,300.0,50.0
18,28.738246762084582,47.351576836422964,16.455822823711305,13.882819709009132,14.046556525348702,14:30:34.420933,50,0.015363165724805094,0.0011460247361640922,0.0012611757790273164,0.015544939573774726,4.1319043845756,0.23753168768564237,0.19132402963976647,4.120720783484643,5.024229489950718,0.005975074562744709,0.007662764227282182,5.024498209841257,5.0,50.0,300.0,50.0
19,43.548759092832924,62.668605885763554,16.40013897864113,15.169694761682157,15.517696803494184,13:53:36.781022,50,0.016804599665764936,0.0011933031376323046,0.0012136243742436378,0.017166376807965508,4.602346991282543,0.26367739639894694,0.3265028579512137,4.898231377073913,5.014696251090701,0.007625221038161101,0.006778202126435318,5.008107336572718,5.0,50.0,300.0,50.0
20,40.99776095054176,60.074292600167894,16.468356300522593,15.001630760750805,14.86451452365946,15:21:38.982135,50,0.016552296325081386,0.0012027361941366957,0.0011994730486045001,0.01637784862572369,4.571499763503398,0.21029352562018655,0.3216209492873361,4.79855090057116,5.0147887732806495,0.007969797440877002,0.005835782748697227,5.007946383697103,5.0,50.0,300.0,50.0
21,31.1345251745832,50.253465925332094,16.48156950713906,14.021875165453281,14.077406397108241,14:40:03.037068,50,0.015459811226373897,0.0011724589708953393,0.001192872957115355,0.015526148780938638,4.435446729612319,0.2779667804444612,0.2658327763166852,4.359888129559856,5.013586766822806,0.006455946582295979,0.006873345963433586,5.01541530441289,5.0,50.0,300.0,50.0
