i,logB,maxloglikelihood,SNR_comb_signal,SNR_comb_median,SNR_comb_global,run_time,duration,amplitude_median,amplitude_plus,amplitude_minus,amplitude_global,phase_median,phase_plus,phase_minus,phase_global,spacing_median,spacing_plus,spacing_minus,spacing_global,width_median,fmin_median,fmax_median,duration_median
0,-7.079828964681658,3.168916006867852,0.0,2.773958676389112,6.125560739038806,7:30:20.363000,50,0.003614261095452797,0.002753593452592623,0.0024159082267928822,0.008258380141358516,3.1794624457075176,2.9952991512590725,2.2518722921305963,1.782455642533729,7.521526178491317,1.6208011950587657,2.9715141967516256,8.150717884590946,5.0,50.0,300.0,50.0
1,-7.22409115224873,5.240925625139284,0.0,2.8995320562026925,7.631575798153825,8:13:05.750807,50,0.003592063983918984,0.0024948626652216716,0.0023887620899242282,0.0066844883709987315,2.824441599925769,3.0883300419694635,2.0073883266417036,2.441812569253501,6.66633888227064,2.502043490693879,3.0685803255989206,2.5384034627231458,5.0,50.0,300.0,50.0
2,-5.837999336597353,5.918424531507042,0.0,4.895482442991472,7.308204559528531,8:45:46.111287,50,0.006475007495133418,0.0024156132318882816,0.0029586247211998264,0.008680722630467298,2.989253082890472,3.867375021108872,2.1069147301813738,4.884474781416852,7.973373339140501,1.2179551251589924,2.304465840266431,6.066379157325026,5.0,50.0,300.0,50.0
3,-6.4752280623545,4.032498384368202,0.0,3.831961116227358,6.785845954599021,7:07:43.348279,50,0.005023143787298875,0.002612212269801761,0.002866757110768607,0.007526859336161937,3.704809900894821,2.89648465217019,2.5985071357445184,1.2235756807810694,7.746242434826089,1.550864068832717,2.455606629433902,5.1120721439719805,5.0,50.0,300.0,50.0
4,-7.77116660620102,0.8689244496912949,0.0,1.5302642380735039,3.376702434986289,5:00:34.819866,50,0.0020045285470760513,0.001992744952797172,0.00138195708706684,0.004848674294141188,3.275628527264505,3.0378749903071114,2.2531741790667033,6.248322241571339,7.5980695102620555,1.7028109947384653,2.9641625083698715,9.190991940303174,5.0,50.0,300.0,50.0
5,-7.464219170203529,2.3960590857353656,0.0,2.237139669779059,5.027880993276286,7:20:19.091036,50,0.0029545901863391637,0.0027607125173900876,0.0019741093812970147,0.006567621648495826,3.14071783560766,3.069064416557289,2.1301253113290723,6.706383788722895,7.684355274255033,1.6359623940889048,2.981329056666021,7.648941126840928,5.0,50.0,300.0,50.0
6,-7.7199996502110295,2.4705315231461062,0.0,1.985449822165507,5.249208994610916,6:20:41.081166,50,0.00253498124747041,0.0024674473021743014,0.001756787914281648,0.0057269555844440805,3.0473263287376007,3.0439944615666565,2.106919659123671,3.7291434573585174,7.155437289802888,2.18176152948298,2.8464100707080044,4.848223198149512,5.0,50.0,300.0,50.0
7,-6.812101413644716,4.92565400702832,0.0,3.4891721967034934,6.444881076293672,7:51:42.674618,50,0.004613771018312606,0.0031574492368607503,0.003016092403577185,0.009186632710869225,3.68258840144406,2.8553322229565277,2.6322417300355636,5.875081487396693,7.842196171772219,1.4390307927946004,2.5939671220730096,9.191163400143264,5.0,50.0,300.0,50.0
8,-7.408654598533225,3.9580608439431026,0.0,2.4935357601383696,7.029473730494208,7:46:18.125265,50,0.0031426392509845114,0.0025562530544026595,0.0021626589526676713,0.006894266699914877,2.905663756867774,2.9849154552659924,1.9940690397387875,1.1937978879370377,6.984914811521713,2.274750375954338,3.0953148525991936,3.6317094573971267,5.0,50.0,300.0,50.0
9,-6.82364504282212,6.3166856471684705,0.0,3.7449267473903554,6.889670739561726,7:16:34.973961,50,0.005058625411765564,0.00344117209247886,0.0031759835533430856,0.010318188558001457,3.590961798060971,5.168846319630277,2.595052634145354,9.313582905512902,8.203125726853802,1.730578960124797,3.483698265737381,9.957084996813023,5.0,50.0,300.0,50.0
10,-7.714682721545546,1.4662180376805891,0.0,1.7880342601855175,4.7350908847188276,6:12:59.499704,50,0.0023365096158814297,0.0023054163817825763,0.0016690363511555112,0.0060643409240319,3.1877824182494807,3.0963070326561875,2.278497138393214,1.727287563092783,7.524599766838878,1.7835121352896133,2.8977889672120583,7.266818972078213,5.0,50.0,300.0,50.0
11,-7.396965445000221,5.023360624993327,0.0,2.4682441441450584,6.665507264082863,7:25:28.557367,50,0.003253746602035229,0.003101738249330681,0.0022625789602013077,0.008872682071427216,2.946286779763299,2.8616040131493463,1.9158458644444574,2.967299125194031,7.786307799825409,1.307949013959452,3.0691982516674807,7.8685659362644165,5.0,50.0,300.0,50.0
12,-7.919121431821872,0.7295588691725704,0.0,1.525515211135893,4.2419774850406675,4:46:34.032418,50,0.001992575780891426,0.0020181422822685494,0.0013619307762041746,0.005602351892040525,3.2264954155594823,3.2136992055242666,2.2858190667133518,0.7739985547389925,7.571137450723738,1.7387040476813187,2.9675782285973904,7.690448867464316,5.0,50.0,300.0,50.0
13,-7.229456074293154,3.1618420522683146,0.0,2.669318964800316,5.975235227742431,8:02:56.761599,50,0.0034379093612133477,0.0027400385294603638,0.0022516217996087226,0.0074190326311980425,3.139342909406127,3.03071748251817,2.1731530904693566,1.326119466050095,7.377659965329089,1.9222785941391614,2.6071513119328635,6.678805951665122,5.0,50.0,300.0,50.0
14,-6.778772735818331,4.739565101571848,0.0,3.4592126449615055,6.503168114680421,7:55:20.960914,50,0.004587493898087611,0.002883539607293671,0.0027657373154946845,0.008867312655092243,3.3910206955324385,2.952270910636987,2.383193736475406,3.8708334003979488,7.8974228458399,1.2697509211287183,3.215857587363298,8.265930570076844,5.0,50.0,300.0,50.0
15,-7.664840792383929,1.9364184326723026,0.0,1.9878211969503143,5.8511502388862064,5:19:53.564113,50,0.002560959829408642,0.00242465365670548,0.0017589132254514023,0.005098672602113406,2.9588306128203823,3.1437401756569865,2.0947163216578657,2.2005627563984347,7.291048525863788,1.9472493515798952,3.0703608218975464,2.4661504007490525,5.0,50.0,300.0,50.0
16,-7.719721272617281,1.2252281576078188,0.0,1.6367750006363881,7.085457780162573,6:19:51.733748,50,0.0020906753517524863,0.002089835735194131,0.0014390575668752957,0.00529467854665126,3.0877992091345723,2.944580372515942,2.21681854293945,0.38711025762828194,7.22554221262364,1.9932050635289968,2.9721661454552155,1.0946923851818144,5.0,50.0,300.0,50.0
17,-7.39376305735386,2.6515510807065272,0.0,2.566583361207867,5.741720254830717,6:52:24.932612,50,0.0033526347557788928,0.0026988135942108927,0.0021849365248698734,0.008076012818258904,3.3114411910703216,3.0148496411805255,2.272724996615585,5.537540904898623,7.5198120710797856,1.7332599120052112,2.758890217964872,8.879749953886922,5.0,50.0,300.0,50.0
18,-7.588755698472448,1.5524992689340433,0.0,2.0155789251020297,5.776799455063578,6:37:45.893366,50,0.002564726528270966,0.002382184815634374,0.0017810576171812752,0.00582038174282212,2.981102662286367,3.1622377332013905,2.0869791432720333,2.854112250788459,7.158113119421686,2.053863207315927,3.1653741067611687,3.9169178222969787,5.0,50.0,300.0,50.0
19,-7.32598732154196,2.428100508962728,0.0,2.496548652212467,5.404085741544709,6:17:28.033344,50,0.003246467448480957,0.0025507186344270742,0.0022533285311806196,0.007417578315885725,3.0803525039525876,3.2362243893827793,2.188740424959996,1.127077269726411,7.426813747634339,1.8010914478338034,3.138032346532775,8.487248664751384,5.0,50.0,300.0,50.0
20,-7.549984636043621,1.395657236436917,0.0,1.937947917396383,5.885675335424303,5:58:08.448404,50,0.002494122559527019,0.0021703929057393647,0.00173679690611288,0.004670581326073613,3.076905068169559,3.033577084213639,2.152098338655354,0.32979300342135287,7.346659669804091,1.944789791794709,2.97754321524682,1.6672842985498937,5.0,50.0,300.0,50.0
21,-7.73330309505101,1.5627223164430766,0.0,1.70650168329156,4.071925667139411,5:40:47.177068,50,0.0021877937476951644,0.002290395416870836,0.0015438363804292595,0.0060792411681528154,2.987595252240603,3.2500314885644417,2.039742523718815,6.118505848798303,7.262256380060479,1.9831696023293377,3.109785319750072,9.98519202204735,5.0,50.0,300.0,50.0
22,-7.572249971278822,2.453439338941837,0.0,2.1112313981053523,4.847388833434369,5:59:40.190052,50,0.0027538625818205077,0.002468437168867762,0.0019206051605258037,0.0064976646007572775,3.0969371227824753,3.054262440589203,2.172395826282126,1.785622723780447,7.461747590641158,1.84847226123226,3.0155709144544574,7.923337015686578,5.0,50.0,300.0,50.0
23,-4.348542407272406,9.241156618163613,0.0,6.242102107473033,7.311660216590011,7:46:23.340746,50,0.009329640661459259,0.002454793721157469,0.0030514241264269076,0.010934227234655298,6.128459632560153,0.9711707879333904,3.7017271488993457,6.396046335975867,9.887723069569466,0.05496331965240131,4.451121780109468,9.91877852537011,5.0,50.0,300.0,50.0
24,-6.713989159712065,4.6948224609659155,0.0,3.6273502792695695,9.984923061393056,8:31:07.574818,50,0.004530521351676842,0.0025136546339597178,0.002899514601041002,0.00749990294150613,2.9592167676019256,3.0378100203298297,2.0319147349271445,0.4687147508475889,6.8852550911868775,2.216913819871044,2.728571807813859,1.1380755343205642,5.0,50.0,300.0,50.0
25,-7.75978607308117,2.521939824489257,0.0,1.892448316594576,6.373915243070609,5:40:20.288159,50,0.0023810810164026485,0.002155368789716259,0.001677055539215345,0.005239345524937995,2.978663740246608,3.084937551728631,2.1593280753360835,1.7838761389292024,7.039031095995849,2.1366523897399343,3.1486204677550367,1.9646760531474672,5.0,50.0,300.0,50.0
26,-6.729441313615562,6.044353472208647,0.0,4.020967556459201,7.049620847384241,8:33:02.916952,50,0.005336061162169517,0.002947826733298551,0.003193977808440096,0.010041060683171517,3.7659548922902903,2.5104552889558596,2.6184609274453274,4.636489963236795,7.954214834639684,1.2559832475024955,2.535797815150163,9.18895660091412,5.0,50.0,300.0,50.0
27,-7.736828725445233,1.737953888739136,0.0,1.9179753730997444,4.85166844042059,4:50:00.634721,50,0.002470345241895924,0.002264630940913461,0.001728213497886061,0.006706536119485431,3.063863771179085,3.1504762945528086,2.144567236650797,1.800172071492347,7.376515607929078,1.8739074439493821,3.004597118874174,8.54339761659967,5.0,50.0,300.0,50.0
28,-6.944571945573324,4.645429439345948,0.0,3.1353158148592333,6.294730766846194,8:44:44.100903,50,0.004191598020017246,0.003020727326400345,0.002694977534046742,0.009105901556661068,3.5266365699243494,2.5687075540035806,2.359149729797186,3.880096503925116,8.014124973449718,1.3763395030866015,2.7314603510467226,9.362964465468904,5.0,50.0,300.0,50.0
29,-6.894658216394827,3.6739245046580398,0.0,3.3779124739022315,5.567707031217348,7:09:45.565609,50,0.00440605976683738,0.002694295271513338,0.002794702748973385,0.007862667304549792,3.313538543728287,3.1234241430564373,2.317417495994091,8.285249726740977,7.5696497994207785,1.4853798621993146,2.7799484106024233,8.896635901349551,5.0,50.0,300.0,50.0
30,-7.940504207601909,0.7187852241803052,0.0,1.43346005426465,5.075541685963166,4:51:10.457746,50,0.0018528899975014433,0.0018474495775531873,0.0012622492901139903,0.0039039457275043656,3.039252523809158,3.191652156913589,2.1550521757468406,0.7181993243076407,7.344024461503452,1.9229129277834502,3.260988814044702,1.3433832338894822,5.0,50.0,300.0,50.0
31,-7.177850895097561,3.109221293485899,0.0,2.554974206304237,7.927573975291426,7:52:56.620921,50,0.003238476326052721,0.0023755915471694233,0.002162370723740147,0.005922146829456227,2.8928039796252087,2.948841360918473,2.078964463931391,0.4429598431703837,7.079867610990434,2.1052214676574197,3.3171306787796344,1.0993921412244687,5.0,50.0,300.0,50.0
32,-7.346258303132011,2.577057574252025,0.0,2.263159019107415,5.31086739763186,8:06:37.977638,50,0.0029229789158110885,0.002482101754479027,0.001988757750092422,0.006420963510511283,3.1407475793853132,2.731541906562999,2.2012731723672516,0.7769226995528322,7.324915479062634,1.9721505341971763,2.9134741642258577,6.3183712106480785,5.0,50.0,300.0,50.0
33,-7.903219706465662,1.4160073338269068,0.0,1.593206113692056,4.096916080302173,5:23:05.808977,50,0.002072463738874261,0.002139247970396324,0.0014781996235362,0.006011588322766037,3.107176470390378,2.962760707897676,2.141145107171489,3.772203193293837,7.457889205114774,1.88901695230203,2.9134627522115304,9.817174774493166,5.0,50.0,300.0,50.0
34,-6.7792869420494,4.693599883754271,0.0,3.3964092509286306,6.2362395160293795,7:55:01.031663,50,0.0043190466197024725,0.0027865466868184892,0.0028289824421997914,0.007086450792194929,3.1791215650158544,2.8452591714498126,2.2694252679121814,5.232139796257282,7.154486851971317,1.8863889010392363,2.5135978114791246,5.386681901916942,5.0,50.0,300.0,50.0
35,-6.934831069386279,4.031654458824435,0.0,3.524638467633643,6.361456135655478,6:25:37.335649,50,0.004558385651834878,0.0025176615848919656,0.0027959205561995425,0.007373727093365073,3.148260893542668,3.081630400695981,2.2088930876414503,0.6314288892051773,7.415323136178106,1.816601214913181,2.449939165891095,5.737537463643407,5.0,50.0,300.0,50.0
36,-6.442726574448377,4.918761758864159,0.0,4.159983181123892,7.178094366310126,8:32:52.263135,50,0.0054829114756306235,0.0025203128045534866,0.0030613210795698616,0.009853160795153783,3.4416822683206636,3.479099515425279,2.424117304510993,4.729888881668004,7.678318427658297,1.604123109822039,3.142198695799544,8.414636345301897,5.0,50.0,300.0,50.0
37,-7.890459295388083,1.1653741643372264,0.0,1.6441878591339407,3.9485168239399737,4:41:07.500507,50,0.002143714985924708,0.0021020853149308566,0.0015002260772162424,0.0057319747606088605,3.0378293478692546,3.286820881660571,2.1188032999907573,6.351515057207342,7.463646779215802,1.8436189290002325,3.007058248641682,9.466890891246571,5.0,50.0,300.0,50.0
38,-7.328865439452608,3.816317858226943,0.0,2.7603257065789504,8.17827529868957,7:43:05.850858,50,0.0036001750997123453,0.0027387426767682683,0.00246873206109119,0.00638253282545334,3.0172757677450934,3.3013954793174896,2.1550649078147766,0.6756493675701256,7.497730993282714,1.7884510135167027,3.4744722861934907,1.509258971291136,5.0,50.0,300.0,50.0
