i,logB,maxloglikelihood,SNR_comb_signal,SNR_comb_median,SNR_comb_global,run_time,duration,amplitude_median,amplitude_plus,amplitude_minus,amplitude_global,phase_median,phase_plus,phase_minus,phase_global,spacing_median,spacing_plus,spacing_minus,spacing_global,width_median,fmin_median,fmax_median,duration_median
0,-7.140555290123785,3.2126929022791693,0.0,2.913134803519828,5.753529367244881,8:14:17.953118,50,0.003828567484101793,0.0027222652132623667,0.0025431056143874965,0.007761870935457633,3.3262710607772314,3.0254139698362277,2.317034923091355,1.5572996136373816,7.783113142110934,1.4144779510584025,3.0297664292065027,8.167222393876617,5.0,50.0,300.0,50.0
1,-7.104000889501866,5.410184085028959,0.0,2.8225475652618344,7.5139233607269205,10:01:01.518906,50,0.003496605992545695,0.0025090310942181256,0.0023952887180241473,0.006580014478232136,2.739383346215112,3.0690400341362274,1.8800840589556789,0.0645874907246541,6.68076100143482,2.446052883934448,3.120228115005359,2.5359222136385,5.0,50.0,300.0,50.0
2,-5.793720854378108,6.2040148502034205,0.0,4.919816085487558,7.2965257213792665,9:08:39.524956,50,0.006494227438927613,0.0023943422513061433,0.0029954784188764463,0.008666957115642783,2.966976394291385,3.794226018895218,2.162077750673075,4.822768764183185,7.819316063732673,1.3738012149103245,2.155915766961111,6.067322065053111,5.0,50.0,300.0,50.0
3,-6.672024563145699,4.068556969135655,0.0,3.809219141044031,6.204657822843192,8:58:22.231237,50,0.005011330967658121,0.0025238517120612335,0.0029346456011288633,0.007207865827808346,3.4562322939155234,3.1081424432884854,2.373805265248137,4.138973173021638,7.631862583793317,1.6727641519910916,2.384025781058604,5.759327158311043,5.0,50.0,300.0,50.0
4,-7.783644691904495,0.7985715054544515,0.0,1.6305448890438954,3.984230274106188,4:44:03.576234,50,0.0021249555941681925,0.0020340908508800293,0.0014951580063969926,0.005708632631006723,3.0720938115124232,3.0365900210748267,2.1279346080988413,6.2881783008275205,7.437936067112869,1.8510591327612307,2.8806496856076027,9.181121799637733,5.0,50.0,300.0,50.0
5,-7.452269347352002,2.4863155360256197,0.0,2.3018138567860484,5.302399369915805,7:20:04.579627,50,0.003007577374170051,0.0025955467907416716,0.001980885268084409,0.00692747700262495,3.2544600701569792,2.989383901968688,2.3396656755580665,6.545114019971204,7.537171034169944,1.7077042604947046,3.025065110612487,7.658512807463553,5.0,50.0,300.0,50.0
6,-7.585484545088405,2.4292885753903075,0.0,2.059759604523739,5.97825016154778,6:50:13.512620,50,0.0026301795492679535,0.0024261288487171383,0.001817754556733192,0.006516380711136964,2.9193109486982634,3.1568116795289063,2.018569769476235,4.256253799964888,7.143418801139326,2.1568293705727424,2.934282216160975,4.832837915448339,5.0,50.0,300.0,50.0
7,-6.895506689108822,4.94394394172008,0.0,3.5818079209883003,6.192551752912137,8:53:32.416565,50,0.004735953456400719,0.0031778364072046674,0.003031584701538542,0.008821410780687895,3.7371587721593413,2.6826741001220182,2.693863871879902,5.885838481967607,7.889417880416353,1.3834792166542815,2.5105005819610566,9.188496653411082,5.0,50.0,300.0,50.0
8,-7.481401354750126,3.8333937097223134,0.0,2.4704118614069723,6.675719576836935,7:55:41.625691,50,0.0031832172802012605,0.0024602682048926075,0.0021443540796402955,0.0065468919516891416,3.124621261378011,2.9405915575600394,2.11406264571947,1.4227714538001752,7.317189420421327,2.1115126149529644,3.182386945242108,3.628730702724403,5.0,50.0,300.0,50.0
9,-6.802790814340489,6.321863446148997,0.0,3.656119916116106,7.027351092584121,10:03:30.421754,50,0.00498861582251917,0.003533283758055501,0.0031704865552349302,0.010524043506907423,3.4686222014185275,5.008975224647914,2.5584217239181086,9.320002597294586,8.257369316240654,1.663156761257138,3.378703914144534,9.956523997483922,5.0,50.0,300.0,50.0
