i,logB,maxloglikelihood,SNR_comb_signal,SNR_comb_median,SNR_comb_global,run_time,duration,amplitude_median,amplitude_plus,amplitude_minus,amplitude_global,phase_median,phase_plus,phase_minus,phase_global,spacing_median,spacing_plus,spacing_minus,spacing_global,width_median,fmin_median,fmax_median,duration_median
0,-5.998430407067041,7.490552609658161,0.0,4.045303521084074,7.554807735359083,5:12:56.622241,50,0.01188158052367692,0.007036580920492641,0.007632139430657225,0.018040233360377522,3.2694770865972833,3.09806135702759,2.518814614401877,4.244916997709097,7.767933330414684,1.885652323708002,2.814274048725113,5.031776045688053,1.0,50.0,300.0,50.0
1,-6.567558884886186,6.5654637045772555,0.0,2.728125226208287,7.104288691597032,4:54:49.990825,50,0.008039729375478588,0.00772056019593418,0.005559067151371092,0.01977621391192705,3.387441540308609,3.343324935819352,2.4404332088508047,6.283242097818889,7.706220963152571,1.5427971327657293,2.6627232176288302,6.978498269618263,1.0,50.0,300.0,50.0
2,-5.203840188559499,11.37897427657169,0.0,5.879001988232963,10.332778113381064,6:48:51.546545,50,0.015900974877100547,0.005383216757101624,0.007728890334073197,0.018052776686163854,3.111440504139777,3.5440227997430522,2.7903845890890806,0.09927872762993083,6.52177057189767,1.816790753062011,1.9541621403458143,2.7360676063358937,1.0,50.0,300.0,50.0
3,-6.1094047589689495,7.867151907311326,0.0,3.5407694615399703,7.212604810593403,5:01:02.321171,50,0.010629872673663662,0.008850947276834019,0.007235407029104524,0.023710953289417556,4.276783558681015,2.0889210632924984,2.9797718300605953,6.301079287604056,8.191403876402541,1.424783963610997,3.3217715451619263,9.596894689851398,1.0,50.0,300.0,50.0
4,-6.472823832835921,7.15920165014632,0.0,2.484692695593249,7.325617960801314,4:59:35.926705,50,0.007266958996827834,0.008112418855411594,0.005040408505147873,0.022837748290963966,3.569763033583491,2.663538369814416,2.5110436348026406,5.6715047541126715,7.7773848905946075,1.4007422537388354,2.920680109264598,8.479464803821564,1.0,50.0,300.0,50.0
5,-6.224017204777387,6.488336263641261,0.0,3.0835677732823306,7.064551463110017,4:54:48.696226,50,0.009127437157391432,0.0070350447088755146,0.006045370716743711,0.021617736069361616,3.3609568770748917,2.9045673204693534,2.2724541137309386,0.6032739451411246,7.679525179118849,1.6065769783637078,2.762533909581264,8.480543713326245,1.0,50.0,300.0,50.0
6,-5.86070120684201,8.686856584196065,0.0,4.242793551311434,7.304102820704754,5:46:23.151855,50,0.012208412342189561,0.0073989405762902045,0.00786683428395985,0.022013383467895054,2.8279300000570946,2.6925803178854166,1.7180436557574459,2.9342009764125274,7.270962557119086,1.7328085319785576,2.4457729446958485,8.073539214824248,1.0,50.0,300.0,50.0
7,-6.2923977581642445,8.042837940067681,0.0,3.3399869470960017,6.680912326603663,4:57:34.861005,50,0.010385099114506165,0.00971728332771943,0.007266372943609919,0.022347083683055373,4.352970071993945,2.0544080997370058,3.111710506548069,5.191604383136434,8.68813247593043,1.239420431247746,3.3543366592830797,9.976882227220207,1.0,50.0,300.0,50.0
8,-6.622972148850113,8.34007431651813,0.0,2.404234445166077,8.640012406054076,5:21:31.204634,50,0.007122989437978234,0.007376492077934164,0.005078324071246313,0.016703485285948148,3.0427593942459152,3.127276638317224,1.9896318242300541,2.00516171367712,7.667176636620671,1.8597989173698055,2.8351544754943623,3.321695447093147,1.0,50.0,300.0,50.0
9,-6.132325464149246,8.229301574433165,0.0,3.245685122834063,8.865582625846816,5:48:11.818196,50,0.009456638664825573,0.0070017111230627795,0.006533815961984251,0.018439465177770148,3.1295149852340263,3.2159994450141776,2.276337752534191,0.5515551647675788,7.529007570913867,1.81785335879162,2.955639926501817,3.8707677355098404,1.0,50.0,300.0,50.0
10,-6.618049880941913,5.601283804439843,0.0,2.3224215085879987,6.79332215906273,4:23:02.857364,50,0.006776167477932381,0.006338945615184787,0.004709106270855872,0.020154151585898894,3.3700106373692607,3.138103092235268,2.3447176083765395,7.381549172331249,7.5162910426399385,1.8154219224538242,2.715890521817701,7.877061451488381,1.0,50.0,300.0,50.0
