i,logB,maxloglikelihood,SNR_comb_signal,SNR_comb_median,SNR_comb_global,run_time,duration,amplitude_median,amplitude_plus,amplitude_minus,amplitude_global,phase_median,phase_plus,phase_minus,phase_global,spacing_median,spacing_plus,spacing_minus,spacing_global,width_median,fmin_median,fmax_median,duration_median
0,75.17679466202762,96.34378134513238,16.063320147021383,17.761673800694094,17.78927194147257,7:51:23.036855,50,0.041957426856671656,0.002471646243092533,0.0025051978510093192,0.042022791919652955,4.928616742901749,0.053604493458937696,4.9040881647387655,4.974182503777876,4.998941909727895,0.0010671954167866815,0.0012943339367463835,4.9994087664465034,1.0,50.0,300.0,50.0
1,69.26360026230725,89.77934748832304,16.075430312055367,17.444920084915346,17.564496882247617,7:34:07.608008,50,0.04120299432232728,0.002519212944752297,0.002507170488245003,0.04149315337386974,4.943430659272209,0.04154265598830609,4.916326350649899,4.977976294540088,4.999848375619967,0.0013411019711675465,0.001675156050228388,5.00014791296807,1.0,50.0,300.0,50.0
2,71.21230400398787,91.95676848719307,16.112950520874545,17.52048834057912,17.480038465886306,7:45:26.275609,50,0.04123565808806295,0.00247058337184846,0.00243781035955936,0.04111511393478478,0.08729453896822945,4.898415337568943,0.06236534496914499,0.031345438138896425,4.998887656812501,0.0013797371403869718,0.0014807971547821097,4.99815608455955,1.0,50.0,300.0,50.0
3,52.0297648677836,73.53647781066906,16.089875110835084,16.231151627510467,16.241590779073963,8:36:23.801237,50,0.03831334724390001,0.0024792641247384714,0.0025729640225199413,0.03835243424073659,4.937713067471305,0.03269960116666759,0.05032265559281068,4.929338770371851,5.000086120615596,0.0010135629467065144,0.0013532757558341046,5.000588039568387,1.0,50.0,300.0,50.0
4,68.11449197225052,88.57429978430491,16.026963261384918,17.398805639366845,16.947320458536865,8:12:19.530893,50,0.041191582988185385,0.0026070825117696095,0.002534459447266324,0.04015796023697073,0.06480539867773848,0.07702107865150294,0.0405771053692594,0.03857023578597823,4.9994135594258005,0.0011567429214141,0.001355518777453213,5.0000544208565145,1.0,50.0,300.0,50.0
5,68.85248878300119,89.66758859586345,16.033428704422015,17.40535690227481,17.740289907253416,7:28:55.371543,50,0.04132892104174077,0.0025407225626806404,0.0025507520632500613,0.04216823019514531,4.919715799727244,0.04964340444408588,0.056558290988711235,4.890381537615482,5.002455283371921,0.0013206489661534704,0.0015105798501720002,5.0034688584738065,1.0,50.0,300.0,50.0
6,61.57086907671418,82.10190637142617,16.000490273486214,16.928609545792376,17.24359682508819,7:35:39.813045,50,0.04025784931728055,0.002351485576544736,0.0025878730827916807,0.040983450783149425,4.915912602949148,0.04666756773211045,0.06005267372768497,4.936714620467118,5.001994993759834,0.0014760924975103507,0.001274092286366546,5.001485251303237,1.0,50.0,300.0,50.0
7,74.0207310293165,94.79910998233161,16.094150745951442,17.798803971547358,18.035569775718386,8:07:30.819629,50,0.04201328434578869,0.0025297442458516797,0.0024500148581727277,0.042520658465891065,4.957970743462331,0.031019381574561855,4.895455072868583,0.029191787011113114,5.000509750231389,0.0011331025982803666,0.0013901348424942839,4.999476474356863,1.0,50.0,300.0,50.0
8,31.764341589627378,52.71894157743603,16.0584405043638,14.38689400381941,14.679511775538849,7:51:54.822855,50,0.03408058319453197,0.002609920279127799,0.0026516597099753014,0.03477406487975543,4.9164406644010725,0.04321840873001559,0.06636084369558048,4.9028855080076585,5.001757151707966,0.001456621332003749,0.0011413856589941318,5.0018095839550005,1.0,50.0,300.0,50.0
9,53.835801313721205,75.02864638808191,16.016813348574733,16.29872833485855,16.43196998174799,7:54:51.460552,50,0.03860383886746893,0.002477517189803234,0.002593177902094339,0.03887890103492089,0.08461907739760968,4.895528290494176,0.060144699624618145,0.04673349960201482,4.999240273097989,0.001347828143942742,0.0011482181270379144,4.9982397971337065,1.0,50.0,300.0,50.0
10,59.2248555731194,79.68154655213176,16.017750715449427,16.71987114028448,17.015462880266778,7:39:21.023064,50,0.03965125931750447,0.0024822541055769393,0.0025310741737645526,0.04030189485848286,4.898176073238622,0.08187505800228134,4.856321447716604,0.041051249151158674,5.000389084767988,0.0015987125018597226,0.002335659552477054,4.999348787446408,1.0,50.0,300.0,50.0
11,48.921976173579786,69.64597303606443,16.05134578292738,15.888554839347304,15.837028290085318,7:25:19.309169,50,0.03759250574498155,0.002512555474465078,0.00249926903566252,0.03746934326659238,4.954101108242257,0.035007196371306115,4.909261032273953,4.998195425409632,5.00024951293882,0.000921827037787537,0.0014435154942038508,5.000053941752716,1.0,50.0,300.0,50.0
12,59.32318137262866,80.05036653163583,16.0402599253867,16.73508942199273,16.600071484030224,7:54:44.183811,50,0.039614903478276314,0.0025498025605283636,0.002389473054856442,0.03928738134548848,4.880323232994933,0.09375107627210255,4.847284342473677,4.981895729306744,4.999744603567538,0.0015939097137698255,0.0016667021416143513,4.999868975163437,1.0,50.0,300.0,50.0
13,48.8717973378839,69.40880893546127,16.075520737283732,15.920998966748757,16.466506639357164,7:52:20.389230,50,0.037701662689386795,0.0024975255886818745,0.002590005146597303,0.03904420496075482,4.790984988542958,0.1380783509736192,0.11098250526200104,4.751221177778868,5.003175069858247,0.0025210299521623014,0.0028621458271027578,5.004635648029811,1.0,50.0,300.0,50.0
14,56.21228666541786,77.01200066309147,16.089082094260625,16.474895539879487,16.464352728759998,7:50:13.328896,50,0.03892499755143628,0.0024222501630356483,0.002419353147547973,0.03894144625752127,4.928210721519179,0.04097196804285819,4.877993057433385,4.933417816808986,5.001143670112242,0.0014909778131615425,0.0018104120384094813,5.0020567198458386,1.0,50.0,300.0,50.0
15,38.336346959987196,58.993273583357755,16.056681629235186,15.05149865613013,15.294938507397793,7:49:50.003028,50,0.0355728343595477,0.0025058642774911447,0.0025740995003625117,0.036124959026857445,4.9575567947730805,0.028320290930218484,4.925935751629675,0.00028864923874088533,4.999319987078881,0.0011368882654982926,0.0011069621731669699,4.998805979131427,1.0,50.0,300.0,50.0
16,81.36011888840837,102.75602829196835,16.045568564369674,18.300024810772385,18.455995196580055,8:16:24.972177,50,0.04321343051811689,0.0024735633516417693,0.002489275421216977,0.04358101210675973,0.07930542906971647,0.05604092544950984,0.03584215438075258,0.06480756323757915,4.998063614988153,0.0013962722675380235,0.0011875514366863626,4.998049379719169,1.0,50.0,300.0,50.0
17,27.681095328127277,48.03275520176096,16.04636427927962,14.076743326890561,13.839757096055981,7:47:38.906999,50,0.03330106871003127,0.002501986074245316,0.002571086413941652,0.03271290093796303,4.935775694353633,0.0461631710795567,4.8963309874053556,0.01744366722817968,4.9995928382725685,0.0011836154756226236,0.0017850656139506427,4.999071576746489,1.0,50.0,300.0,50.0
18,48.81995311980233,69.70413544047237,16.06616760312228,15.946386846117935,16.081635601797252,8:00:24.076943,50,0.037746336938716235,0.002534563467447931,0.0026032802264563185,0.03804153970494334,4.922956283423597,0.05277145150993068,4.85960841621385,4.988811573987221,5.001508471598001,0.0013615809984504068,0.0015612610271737992,5.0009004827115,1.0,50.0,300.0,50.0
19,33.466739332638824,53.941712941154144,16.02146130391306,14.60692483899065,14.765496750462507,8:10:28.866574,50,0.03451542199150638,0.0024565246233221733,0.0026510943303710566,0.03485813917576404,0.21811034725028808,0.15626857798299001,0.11191220658003057,0.20227402297928046,4.996492134531078,0.003438842968801481,0.0023091101021712745,4.995831229212252,1.0,50.0,300.0,50.0
20,45.31754314182935,66.17890617932379,16.086845213298073,15.682604277185234,15.644657519699912,7:45:43.171254,50,0.03712284833534589,0.002447030544641217,0.0025677173224454425,0.03705093951649844,4.876814926101458,0.06701688921586779,0.05923606251107927,4.874254916024213,5.002713115796892,0.0017897009059373303,0.0019248805256877333,5.003133708530113,1.0,50.0,300.0,50.0
21,50.72147162730963,71.1651953311451,16.089954716150302,15.941505388385849,15.929739492957188,8:31:48.034531,50,0.03758430280222057,0.0026300121682192174,0.002566274695769012,0.03749929154892448,0.07586011274277657,0.10958899901728122,0.04370081107102963,0.10009918934663324,4.999172957867195,0.0018832976822666936,0.0014189813280065522,4.997720155028146,1.0,50.0,300.0,50.0
22,57.945910629132875,79.30929686573002,16.038877059162296,16.6541544088233,16.675660754779937,8:37:24.700869,50,0.03944090917892197,0.0025022085352546797,0.0025901332252116424,0.03946998350646092,4.947847016512484,0.034906509932701724,0.08168856203174979,4.982299105350816,5.000360952262023,0.0013668607134080801,0.0010131028969304623,4.999853228514457,1.0,50.0,300.0,50.0
23,70.50419579666604,91.79039729872662,16.078853511948857,17.50302217619832,17.08381011036957,8:17:37.189792,50,0.04132400508762048,0.002526209960518333,0.002490770794092788,0.040349888233651446,4.934197724591054,0.03825165813365761,4.907021651918022,4.956850784438832,4.999718460234904,0.001274574416213703,0.0015821770910822153,5.000071331911736,1.0,50.0,300.0,50.0
24,60.05213993005816,80.27020307425227,16.031520750511767,16.742634906358276,16.773371542793623,8:06:54.787592,50,0.03943827591386108,0.002440930099200829,0.0025330979960599617,0.03949963223449669,0.2106253785558438,0.10359068517709685,0.08619642249983978,0.2383107932910258,4.993049869147592,0.0027584664665010195,0.002237335364864812,4.992427554933192,1.0,50.0,300.0,50.0
25,39.61951004914835,60.01362495257012,16.074210090451714,15.149965042936216,15.14257341671887,7:32:37.500976,50,0.03579664923762829,0.0025138600065869113,0.0026278522615707373,0.03579512896211536,4.883155255825743,0.09788304645615309,4.846844788314567,4.984855755047871,5.000238451075332,0.001282342206340381,0.0018644877923792436,5.000701595514348,1.0,50.0,300.0,50.0
26,31.56340258100873,52.98684926950782,16.06776897296847,14.46419680741597,14.382146334935912,8:11:33.887547,50,0.034063270847562666,0.002492910922911269,0.0025342437233831366,0.0338589837622907,0.09808345428021945,0.056879227564824636,0.04619183986115807,0.12142884451022364,4.99641055066629,0.0016327588321569664,0.0012042470398672123,4.99596723577448,1.0,50.0,300.0,50.0
27,45.88555677710304,66.34875321145574,16.06529045427365,15.551164682179682,15.616242344842842,8:14:04.475959,50,0.036680295717730294,0.0025272476911834124,0.002513384449659553,0.03682471973909704,0.09340390771468102,0.0628189709147757,0.04804695752145094,0.09068607511516404,4.998219239387278,0.0012332257994609463,0.0011918223068647649,4.997986384489769,1.0,50.0,300.0,50.0
28,56.789291720255854,77.11485104085912,16.038711734234905,16.637864896879506,16.550235439511347,8:51:04.738029,50,0.03934572100470389,0.0024484869419770378,0.0025353190849509363,0.03914926400115268,0.11106502525646803,4.871907279710592,0.08941095557277655,4.985405280648236,4.998904704684146,0.0011541216983088631,0.0014495081454013459,4.999191660703326,1.0,50.0,300.0,50.0
29,48.944202049897655,69.98535095981562,16.06004107827933,15.961155697876858,16.252948681243044,7:56:57.595874,50,0.037750882096462136,0.002481627343190157,0.002669711298216651,0.03841981107991205,4.919487808174587,0.05865435814810738,4.9014627855602315,0.0060225728734534766,5.00031217530528,0.0013665972583600805,0.0011700867221957623,4.999889834664462,1.0,50.0,300.0,50.0
30,44.025043489886336,64.84325657857441,15.999032506961619,15.580710138622184,15.724588375116817,8:01:14.397502,50,0.03701846095799461,0.002542421239274374,0.0024829044021750374,0.03736080706233404,4.935528963011358,0.03431984302705082,0.04787983170141086,4.938248493069884,5.0010985312675444,0.0011197452523425966,0.0009833059804096322,5.001108242491659,1.0,50.0,300.0,50.0
31,54.10794533798147,75.25359496656864,16.049477999539025,16.324071180110707,16.737259623883137,7:46:46.356975,50,0.03863462637254732,0.0025327663850343435,0.002449402460465863,0.03957420998628134,0.14594493074195075,4.840356046765196,0.10664563522421905,0.035753065014472146,5.0001770261263685,0.0011862287167385688,0.0015364637807833148,4.999554832068194,1.0,50.0,300.0,50.0
32,39.185316126219746,59.53428959436536,16.020746818886423,15.057296556073638,15.042592593332522,7:12:31.191065,50,0.03571185000664067,0.002410277704937909,0.002577785125610972,0.03566744777626446,4.941307755666038,0.03973890526338941,0.17365092471147658,4.97458651496816,5.000685644565771,0.001332128297066859,0.0011892802060184948,5.0004515887632985,1.0,50.0,300.0,50.0
33,42.03500805931756,62.242630169577936,16.097291444334015,15.38136909856467,15.708869087493525,7:12:55.055860,50,0.03629649568835938,0.002580261455908707,0.0025425006487149668,0.03708406633604849,4.952577704245794,0.033698419288599624,4.906035105832011,4.972775103993493,5.000449021398398,0.0012678620261867835,0.0011579002196864252,5.000837377472441,1.0,50.0,300.0,50.0
34,47.38533178788293,68.01202926602862,16.081681818934648,15.771919982631497,15.562958786332723,8:12:47.774190,50,0.037360100047822156,0.002468524542860076,0.0024545411126980013,0.036881725512539175,4.898236379904174,0.06513110431000158,4.81528932679102,4.9239608403533355,5.0030175866013415,0.0016947627888459493,0.002115430141275354,5.003551586479562,1.0,50.0,300.0,50.0
35,54.06265128970805,74.77254929694618,16.080438560728506,16.262640366826066,16.390351363415352,7:51:39.055155,50,0.03842457246195963,0.002522756228313529,0.00248900681991656,0.03873867028340726,4.8031579018222645,0.1747545035198783,4.782790449929247,4.98746362338796,5.000056582944958,0.0014827115924580525,0.0014145492154780115,5.000921748734095,1.0,50.0,300.0,50.0
36,42.34579284480506,63.40558088107824,16.048257467617404,15.202970500075896,15.090468250509993,8:03:56.492462,50,0.03596349401867934,0.0024596942728353985,0.002396150757350113,0.035707393969685405,0.06731140593553256,4.9126658471514215,0.05233136639809237,4.997897660226926,4.999956303094891,0.0011927764667385432,0.0012608120469179696,5.00013467806787,1.0,50.0,300.0,50.0
37,53.34295155101106,73.7587224285926,16.056694056367878,16.26669076350208,16.34909685834468,7:59:29.323362,50,0.03845557990896205,0.0025143588902143896,0.0024487476036121475,0.03868529146071794,0.043460131352791344,4.919710431146598,0.03287999669105968,0.007804405043745012,4.999751463025951,0.0012561148308529724,0.0013494784862926323,5.000593443573123,1.0,50.0,300.0,50.0
38,38.134525229636765,58.04358088899585,16.06325409169328,14.945951864966926,15.371858846394685,7:51:40.948340,50,0.03526863161496407,0.002484969438358499,0.0025144520931060232,0.03626875739232834,0.06573649165166916,4.756882633923513,0.044242198432569824,0.035102694238265085,4.998498473720948,0.0018468397596409503,0.001419106877851739,4.998222290829176,1.0,50.0,300.0,50.0
