i,logB,maxloglikelihood,SNR_comb_signal,SNR_comb_median,SNR_comb_global,run_time,duration,width_median,width_plus,width_minus,width_global,amplitude_median,amplitude_plus,amplitude_minus,amplitude_global,phase_median,phase_plus,phase_minus,phase_global,spacing_median,spacing_plus,spacing_minus,spacing_global,fmin_median,fmax_median,duration_median
0.0,-5.9608643830010575,6.132533923755375,0.0,4.235170049431901,7.178039642040651,2338.0,1.0,1.3812411554574087,0.3740130239529684,0.27925700995183544,1.0808944122209783,0.00967486431543399,0.005943541445371103,0.0060772078449498595,0.020664082136313364,3.41007312623177,2.574840863809088,2.3746534875682985,3.6461721789364647,7.551071980186141,1.669052471133531,2.930083189204863,8.871059130307255,50.0,339.0,1.0
1.0,-6.569967086652247,5.343164275913925,0.0,3.227733767211926,8.448089462079015,2179.0,1.0,1.3795995688832443,0.3877884587070597,0.2799340748664396,1.1471273671660822,0.007103573654988067,0.006022839272248916,0.0049321569050587,0.01960966089887824,3.210083049955097,3.0265244130504634,2.2544521426691735,5.467653201980989,7.03831412533536,2.1244491196835877,2.5107396404934015,6.24205243568119,50.0,339.0,1.0
2.0,-4.3751692809190486,10.174934931743316,0.0,8.211250649474481,9.812477788322358,2310.0,1.0,1.3766900267533395,0.38624274326933006,0.27274114774723235,1.5203944350594056,0.01728401319370297,0.004742568449766164,0.006445079031264806,0.019486886198551566,4.323858846347719,1.8123813930615507,3.8859772777793875,6.159873944019124,6.4860625065887705,0.8962892453598936,0.7175830182221263,6.481408474835125,50.0,339.0,1.0
3.0,-6.226906937465131,7.230089100298285,0.0,3.9493692639610516,9.217509297954196,2495.0,1.0,1.3486341085135383,0.3934916672496447,0.26073877227934306,1.0078440025661324,0.00902291721905242,0.006376165334864075,0.005991693654909921,0.02039024652424326,3.004586648012281,3.12178933085246,2.0762336930302006,1.2518625355644133,7.356685307038628,2.0216994024965818,2.5593382190436857,4.814909230539126,50.0,339.0,1.0
4.0,-7.048574137678255,3.0638522761105165,0.0,2.287696551036826,5.497905872617738,1741.0,1.0,1.347789210155782,0.4025324757552968,0.25709301457126554,1.117294210035433,0.005307761105852174,0.005505086286559319,0.003675579998335343,0.016075844622258653,3.316496577312644,2.9994445910004544,2.4057075620564867,7.013423113273701,7.651267993117467,1.6714550232331797,2.8077622580978376,9.576189668822002,50.0,339.0,1.0
5.0,-6.723566954905612,3.689065007084446,0.0,2.799493463703069,7.516148953461194,1866.0,1.0,1.3822176097373966,0.38853884579636033,0.272058050865706,1.1122378427208983,0.006322916732743265,0.005698140901115091,0.004365258367618925,0.019092629367159806,3.1463151845036657,3.069326654382851,2.127123342759638,2.830832827556401,7.461374588058454,1.818160384401648,2.8061454745389165,7.30937233540201,50.0,339.0,1.0
6.0,-5.991306839548277,7.9876290613899394,0.0,4.979740458479733,8.35819959536885,2316.0,1.0,1.326169208784972,0.38979683117947417,0.23336023815990425,1.0229982003368878,0.011256642180897194,0.007184746053268257,0.007249447721091207,0.02215139787150436,3.17277307951239,2.073701805854668,2.012020918679018,3.230016272936636,7.083212898261037,1.7340222174547524,1.7747359564299732,7.079983718258003,50.0,339.0,1.0
7.0,-6.677274566297087,5.219912343520209,0.0,2.924577400862987,8.620986362790747,2074.0,1.0,1.3550098611963175,0.3989731084619277,0.2606586231237311,1.0772101647489907,0.006821471094949211,0.006533351999496565,0.004730834063577638,0.018972176296104024,3.156458669611804,3.230626237346355,2.1084697791090266,2.4004360708716455,7.71062742267779,1.8168074442981794,2.7687063403017644,5.281952678243033,50.0,339.0,1.0
8.0,-6.492244882858089,5.296231342537873,0.0,2.633846935930512,8.141890398175995,2173.0,1.0,1.3573670134151157,0.3895613279056238,0.2633167995884842,1.0162580587941845,0.006028319923596315,0.00630158487062402,0.00425634208627244,0.022201005854480437,2.981639999832969,3.2090630411904817,2.1221546527108224,0.6878844665540095,7.495272059863332,1.8128111621868381,2.634609554366322,7.4997140663399575,50.0,339.0,1.0
9.0,-6.355858496032891,4.018937381055347,0.0,3.3040190973254364,7.0959684173063335,1928.0,1.0,1.374399012519313,0.3825985360205697,0.2680667156109293,1.0172749061812558,0.007603825206991422,0.005906669240568693,0.005017371548104683,0.022095109955812896,3.06529637443028,2.9899702069635876,2.0462131391667717,1.7330377413425724,7.622807492605081,1.8211293106065893,2.9381565158541436,9.734012161509693,50.0,339.0,1.0
10.0,-6.805313246291679,3.415884372793826,0.0,2.6194955602059498,5.942539942873861,2002.0,1.0,1.3677083574402433,0.3944185983751278,0.2682916553914758,1.0036520193480212,0.005961770460025366,0.005679550095163186,0.004059914458012612,0.018833672226988455,3.258181306311591,2.9081100649137004,2.132936994393091,1.894033107931712,7.483206618081507,1.8243571893969097,2.7213991237331596,9.995534479171509,50.0,339.0,1.0
11.0,-6.792898290169107,3.556256574031077,0.0,2.536488799204503,6.579569978945664,1988.0,1.0,1.3579716666492017,0.4000794257983291,0.25406401888405594,1.2543240836252458,0.005862296763457255,0.005942437389574486,0.004138141962631185,0.015288581505615798,3.234407817628627,3.2390311658691635,2.310718150348945,0.17422807361856857,7.606695507465847,1.8859220016611733,2.601078783182551,6.986523065735301,50.0,339.0,1.0
12.0,-6.638807536227558,4.895410012438177,0.0,2.8700133140953326,7.256452890391862,2140.0,1.0,1.3706311407555742,0.38624465262484864,0.26380216881515794,1.0234845596076245,0.006748430390894805,0.00660126696847126,0.004726346650176802,0.021360175014988297,3.7901175554525035,3.4080962483800286,2.6838201677964935,8.451430643928171,7.991451601264186,1.3146832286359649,2.8806247121780615,8.942634875487187,50.0,339.0,1.0
13.0,-7.189511474856948,3.0721607620823943,0.0,1.8752262426101907,6.503470449281501,1761.0,1.0,1.3594727620109905,0.38462941485111135,0.2660396337163373,1.0177335472026607,0.004272528612178346,0.0043855949402697575,0.0029916874539789155,0.016827902191259264,3.1865638762257573,3.082062506078085,2.2591641435173164,0.9319327298319141,7.424635865295489,1.8444512694695536,2.6462257267887175,6.686459490645746,50.0,339.0,1.0
14.0,-5.3757517952190295,6.711487747619797,0.0,5.608844127529342,10.186241305288968,2204.0,1.0,1.3593516156568433,0.4061548452577155,0.2596047376423958,1.2376538725477468,0.012130725254820842,0.00544306187131015,0.006014469963624566,0.014601610109093447,2.8773072140823257,2.864981838423812,1.9979979420057827,2.180714115676569,6.753245805003933,2.1641115522708807,2.340677757756419,2.416841438989146,50.0,339.0,1.0
15.0,-6.800023211067377,5.9379064747495285,0.0,2.5971839094672204,7.778101425925222,2203.0,1.0,1.3463428879758244,0.39574440892933915,0.2514913539942245,1.0206428210479175,0.006079123527797893,0.006496080347399621,0.004152447528242285,0.022974344363411364,3.0813685776768813,3.17918576245501,2.010027504845173,2.054891272388268,7.731154373822101,1.490963181021244,2.807557030526083,8.735756033827926,50.0,339.0,1.0
16.0,-5.981224366431481,7.694060900440208,0.0,5.005291743156218,7.67458824861188,2398.0,1.0,1.3526568571337831,0.3910538772211678,0.2603061963014053,1.030633572603547,0.012094214374914513,0.006706740619216741,0.007888195281428919,0.022552265801618322,2.8939512168879302,3.9207796643996016,2.3222722850918873,0.3706495410818053,8.324263731683232,0.6233224303864535,3.088933074298719,8.91137404434846,50.0,339.0,1.0
17.0,-6.883895637348955,4.116405048788431,0.0,2.410010853666756,7.006892675106944,2073.0,1.0,1.3542170448729565,0.38576194821437126,0.25942792855530694,1.1242907592273466,0.005513245683713983,0.005552433429679714,0.0036796438299228867,0.015651279801839862,3.2710170412425876,3.0503001123162194,2.2749238055806944,3.8219068338288964,7.47721930353519,1.7958128465145684,2.716383782586801,5.6915223182461885,50.0,339.0,1.0
18.0,-5.723122912275605,5.86945245672687,0.0,5.103819660661548,8.14557460524315,2114.0,1.0,1.357224241787059,0.4105193717906106,0.2516007885293632,1.0401928409799903,0.011617980619481418,0.0053768498457700195,0.006532913999657901,0.016950134931246936,3.148137778495399,3.668063670702155,2.316930229809194,2.8837176098493114,7.397622745309166,1.794997570477971,3.0265670589694533,4.399476259056507,50.0,339.0,1.0
19.0,-6.8282569762540675,3.9155061751898392,0.0,2.4896065336713633,6.745338265444869,2171.0,1.0,1.3397732308744261,0.4200874949780211,0.2528371134461338,1.0818831861337042,0.0058062048485192225,0.005474922091323924,0.004080344114270041,0.017927945234494716,3.127018641760935,3.1336048440973507,2.2249026958685283,2.4243232394295147,7.540012908906387,1.722788991267647,2.832101703549129,7.632917925084391,50.0,339.0,1.0
20.0,-6.491623693658398,4.665340181971744,0.0,3.2102201194989113,7.762370802835913,2128.0,1.0,1.366000335349304,0.3990670921510475,0.26949938771554804,1.061272846836693,0.00740594849669349,0.006474137971567971,0.005078091965785372,0.01582171193563999,3.1063471427583673,3.2996699786735837,2.2820005903213962,0.25745381482081386,7.762209384019514,1.5883915654024792,2.9312727946458885,4.321667656782337,50.0,339.0,1.0
21.0,-6.700071961934609,5.014306237838433,0.0,2.704730183881301,7.039856994393216,2082.0,1.0,1.3481172443340401,0.3924162800572599,0.2487477824953528,1.0121770609106777,0.006266731884090565,0.0060921871873304825,0.00435550200746851,0.02052864758451868,3.3049651220588228,3.05432265799066,2.3560504005611813,5.415859336870358,7.805860253574419,1.6026522601787523,2.905272949627525,8.547742311862802,50.0,339.0,1.0
22.0,-6.704088525699439,3.6811841721751444,0.0,2.6076864720350317,6.552703481841922,1971.0,1.0,1.3488700944463343,0.3857603223924222,0.25734152799028553,1.2229019473740275,0.006068513586992419,0.006073701427808274,0.004105124215513972,0.01789650556308326,3.3150603738996716,3.0030460490837476,2.347096024027992,6.661537604871196,7.764212545599408,1.607083312964976,2.9647401177621937,9.342040940479153,50.0,339.0,1.0
23.0,-5.086646732143935,9.375509741370617,0.0,6.61234836419114,8.902562004727837,2536.0,1.0,1.3637382242979643,0.38258522783805304,0.26681586751834296,1.0400879089612884,0.014512490893189317,0.0059249304803598996,0.007154071934386117,0.02298653905578082,5.24394751485149,1.040469472049332,3.767735850409882,5.8298307400626665,6.9437291222145525,2.2790012464140936,1.5738893681056894,6.93458168160073,50.0,339.0,1.0
