i,logB,maxloglikelihood,SNR_comb_signal,SNR_comb_median,SNR_comb_global,run_time,duration,width_median,width_plus,width_minus,width_global,amplitude_median,amplitude_plus,amplitude_minus,amplitude_global,phase_median,phase_plus,phase_minus,phase_global,spacing_median,spacing_plus,spacing_minus,spacing_global,fmin_median,fmax_median,duration_median
98.0,-3.4448471254664024,3.0716874172199464,0.0,1.7184428134131424,5.04546246339192,1727.805969,1.0,1.3606482630923695,0.3768361064816108,0.2649716800456965,1.199711678551681,0.008490121047177016,0.007876012063380278,0.005841813093492737,0.02156142444678358,3.272102788451823,3.047771634475669,2.3278626987585693,0.9690506742859859,7.68100488010546,1.682318710953206,2.8873026254559164,4.693003867608223,50.0,110.0,1.0
60.0,-3.5971037995416975,3.5364329588647463,0.0,1.5456341707772525,4.493648754293335,1978.110919,1.0,1.3658778157450415,0.3936285819391465,0.27534831057041576,1.138074858451696,0.00774231201202919,0.008267932420016411,0.005322176156022411,0.02373262798801347,2.9849216250096426,3.277288173862359,2.077496626835064,0.6719805359726552,7.33912158776977,1.896899194047422,2.8569993655514585,7.156190244670039,50.0,110.0,1.0
10.0,-3.4861280952016434,2.3820151242700303,0.0,1.6450631043734476,4.197207374134631,1689.714354,1.0,1.3558501419146665,0.3918035657328547,0.2573554727164429,1.0543962215514966,0.008294894078205349,0.007791621857074195,0.0057918673672386,0.02028557991401506,3.1636723441756605,3.010173578333111,2.2316010909768123,2.7712871590492973,7.499146968749798,1.7918363985050956,2.8502342928754185,5.398437115283908,50.0,110.0,1.0
40.0,-3.3099008956165528,2.850882193769993,0.0,1.806838473038499,3.9708660423491375,1913.554183,1.0,1.3454629887922196,0.39193962073176225,0.25481227050065036,1.005933204938033,0.009090757038326982,0.007943714112739458,0.006247503909655807,0.02739462686953305,3.2276929748037695,3.5286826341580237,2.25390170405875,9.615961762811263,7.5723473108413915,1.8789055376279533,2.8245490520026744,9.730788545682131,50.0,110.0,1.0
48.0,-3.6667741139250727,1.1266107363972255,0.0,1.2765494721032484,3.3229574595438294,1399.812599,1.0,1.362264382651605,0.3822731035742928,0.2623222476790652,1.2036965838014644,0.006369619854440582,0.006456605804507117,0.004544217251897206,0.017928222406278567,3.198637176347448,3.0544727018102598,2.2592235139551518,4.454212694441762,7.58088740766244,1.7853893081424728,2.824239425953385,7.824150088136383,50.0,110.0,1.0
0.0,-3.0639976286812747,4.657090340801928,0.0,2.303870746547604,5.391992686607771,2042.534941,1.0,1.38355014974431,0.3906515955594654,0.2780023825103939,1.0518653083993286,0.011465607083162153,0.008991755841469058,0.007567986312667455,0.025977541745826057,3.425393389756345,2.698115839422126,2.4684428287471802,0.1858463768427857,7.333842600867694,1.7728345146448081,2.174466541458348,5.250048666225375,50.0,110.0,1.0
28.0,-3.116516879561596,3.6719888516489503,0.0,2.1848448361106496,4.199780356601913,1886.928852,1.0,1.3600596078061609,0.37857723108298447,0.2679191584245779,1.0422319510018474,0.01101373340247265,0.00909943774817503,0.007512419593457602,0.02747869894502954,3.629572230296149,2.673507893488562,2.5477828701936307,4.821256929108118,7.764458497796862,1.7598230117685825,2.9000589325444945,9.700358021185421,50.0,110.0,1.0
96.0,-3.4782254050169596,3.2032828140281313,0.0,1.7252452801766704,4.5015410018782385,1951.082192,1.0,1.3542041157095854,0.3965520858234095,0.26492299834076705,1.1335869116405595,0.00875978040412339,0.00924714691434941,0.006210635646969162,0.025341381101446632,3.323046003674809,3.1540105817604496,2.2916191936453485,6.658259581986084,7.644173126957554,1.5848070481286278,2.7773533965639228,7.954069284421563,50.0,110.0,1.0
30.0,-3.484943438661371,3.210999791487451,0.0,1.6524574235097513,3.7630576490194265,1859.180209,1.0,1.3435230494696058,0.3789942823036718,0.25346215589944565,1.0011182143703259,0.008354667523342858,0.008362597423935553,0.005747901526358932,0.024463472030643862,3.142564639404947,2.919521413456456,2.14561581428071,3.3768721633655865,7.526067242262129,1.9571702550128949,3.060053595894284,9.736672039082892,50.0,110.0,1.0
74.0,-2.6153392323108093,5.004926520626069,0.0,2.8144225880204945,4.823040312101065,2010.86075,1.0,1.3924777340600607,0.3968277004185159,0.2886333212455856,1.756485525027997,0.01489919404637661,0.009764605317995488,0.009242384964765569,0.02249943443580767,3.7725901077396706,3.251385830058376,2.602243907888449,7.1134834051711415,8.315243670803167,1.0853256325865477,2.6455429194175393,8.171872993345954,50.0,110.0,1.0
92.0,-2.992958869294959,4.205362937854579,0.0,2.183995793163083,4.789891506419192,2212.085395,1.0,1.4005321245940183,0.3650867667445681,0.2866434344952278,1.3670216938854738,0.010737106897337478,0.008451177731546949,0.00723733000561938,0.022503550330896523,3.037936328160881,3.111115303107299,2.1583596158221496,1.8599234913393636,7.307199018002366,1.9239841359167462,2.899200455660403,6.741589388013051,50.0,110.0,1.0
46.0,-3.137875830608936,4.069194158359689,0.0,2.2426322356133825,4.219781926174089,1742.963399,1.0,1.3967667331346412,0.38989013163604436,0.2837651915937762,1.8764558783905516,0.011675299046416773,0.009531340024454524,0.0078112123055234,0.01917631655704466,3.5525439167733266,3.220160943297156,2.489588436968055,1.2761949716301737,8.315469676172693,0.9569629764904768,2.9838069980004107,8.897011219564149,50.0,110.0,1.0
16.0,-2.9827898981520495,4.025592512732354,0.0,2.222134658930538,4.39401679005624,2155.226865,1.0,1.322900360441787,0.3804349024954248,0.23930683446425172,1.027276413259665,0.011356246451552567,0.009598397665238553,0.007630040878227752,0.028138824390720026,2.766335623624827,2.932808499532407,1.9267472061902715,2.7902290613148137,7.680690910985658,1.8570442019427125,2.820818457626271,9.502559589806062,50.0,110.0,1.0
42.0,-3.100830814733882,6.186628008435616,0.0,2.3081355589980195,5.58879716230133,2483.065476,1.0,1.36867243735091,0.3858818035188274,0.2722166879293655,1.0183518731871624,0.011633169607703603,0.011146622226935908,0.007665970985470233,0.03373899399363921,2.9626382598965844,3.014243529200014,1.8184749502628998,2.6226885456741527,8.192184093248816,0.8460749858036305,3.1845586964392396,8.32101922609041,50.0,110.0,1.0
94.0,-3.528379753724249,2.2028849487822373,0.0,1.5989613260697306,4.029840514100777,1653.471886,1.0,1.3715821555151868,0.3863703396094076,0.26538034550384126,1.0243344413159485,0.008059829713441491,0.007891685607193756,0.00553958863418752,0.017883668974727814,3.0379636040031412,2.9542686189262666,2.0818153070238843,1.1037457153335992,7.326001560008299,1.9463153652396095,2.8127938061748328,4.11533888494644,50.0,110.0,1.0
32.0,-2.651322385568541,5.418625419412555,0.0,3.1003643539302366,6.033869610365931,2244.991599,1.0,1.3891188751328716,0.3892420873586018,0.29028543193462153,1.5325789962025531,0.01432329868539211,0.007828896203643625,0.008489534579138307,0.0224498121044697,2.6836785629778745,3.03625131743481,1.8320376082647036,2.5326247968841775,6.807788960122348,2.3236345950041706,2.1960682000053806,4.782655132266514,50.0,110.0,1.0
56.0,-2.698519364144236,6.747553524026642,0.0,2.9924855246360798,5.718430582706601,2632.297355,1.0,1.3474561036206028,0.3934060279823941,0.2540159100119299,1.0027968705989667,0.014352791062720832,0.00883230428350695,0.008906476634914978,0.03290005055336036,2.509551190164318,3.20102023110256,1.5252041769287832,2.1969713431704676,6.88582300899475,2.000855276166387,2.928528575121869,6.866235667603215,50.0,110.0,1.0
90.0,-3.795112451891687,1.1285051902684358,0.0,1.226801856676092,2.66467688005837,1432.227561,1.0,1.3527446142558484,0.39446153448115595,0.2584747842717672,1.0616932891871929,0.006172067161247062,0.0071169981784482035,0.004320608558823534,0.016738470644460202,3.278303893135104,3.0140547084188745,2.2655670217848356,7.989388468930886,7.597983380705016,1.8262353267842188,2.8749562752043074,9.076295422635694,50.0,110.0,1.0
52.0,-2.6773411749867133,5.609514246354956,0.0,2.8201084043570757,6.981840727422873,2335.72806,1.0,1.3126205148630476,0.386461743848981,0.2227445000404309,1.0459973621612733,0.013626044459747905,0.0084415782099253,0.008709489001138953,0.022539503375731327,2.702663857059539,3.114594884410418,1.9071783587620272,0.16129565552509775,6.935684770620527,2.0952061144131244,3.4008444613820763,2.0868979614270966,50.0,110.0,1.0
34.0,-3.0296053502529148,4.9633925587405505,0.0,2.3005009540126067,4.819269184630057,2256.747994,1.0,1.3918025347691194,0.3722181053036768,0.281140645287717,1.0657414427109184,0.011377388202231407,0.009155711131342666,0.0076612431009983216,0.027775069773501374,3.158540974530677,2.7573970970375736,2.1429925684414597,2.9483088643313553,7.628167152442933,1.4442340391194035,2.3767129690279765,8.015483950673193,50.0,110.0,1.0
18.0,-3.4603607101808125,4.076683808462828,0.0,1.7360017133835357,4.706097540713775,2098.553504,1.0,1.3648571730896406,0.37856146741964425,0.2726724157601703,1.1315705582011626,0.00865160968454659,0.00834003189624741,0.005961620405496431,0.022538198226283584,3.2337297847717643,3.254599106871348,2.181775341970547,4.972138965558167,7.552374616780989,1.8152541518301586,2.729572455233143,5.4951926206099575,50.0,110.0,1.0
14.0,-3.410195524651392,3.279325302175733,0.0,1.6133032407761054,4.118016439317879,1952.416409,1.0,1.3324546599334794,0.38404584639086425,0.2367555649860058,1.102322883463661,0.008283803462272907,0.009001681551966054,0.0057834773642351876,0.025355721544915222,3.5864194029249763,2.802502524675454,2.5274928317721024,4.918909852691665,7.830866162962726,1.5652625279167118,3.06181692747508,9.24082475952736,50.0,110.0,1.0
64.0,-3.4747827972755325,2.654663214697876,0.0,1.487192600548992,4.762314387451615,1840.092913,1.0,1.3684271039052616,0.38916132733244724,0.27410068519735575,1.614863590701376,0.0074351452692077435,0.007726900082203225,0.004946745668182943,0.01775711139871277,3.153718839345464,3.1178184639161124,2.253681176754565,3.174156515129665,7.484728144897745,1.7471631702902046,2.6605694399340614,5.066318509451242,50.0,110.0,1.0
12.0,-3.1496223750325583,3.9258122177162083,0.0,2.2060751363630353,4.561075185242077,1941.621485,1.0,1.3444461021515468,0.3859976113294856,0.2536495939651551,1.0011980636657118,0.011024936063755786,0.00967161705992182,0.007548189519762943,0.029702406445910233,3.368624923333727,2.9841952346520872,2.415477809306756,7.69175054501156,7.6639534829490845,1.593598291959477,2.7222707612844914,9.068166653263155,50.0,110.0,1.0
24.0,-2.977327915910866,5.943246804103051,0.0,2.535492107094861,6.163153260623268,2785.282256,1.0,1.3364619262444817,0.3905153881162817,0.25639646157792195,1.0492427225649679,0.011883823810382896,0.008002234621374756,0.007522406542252306,0.024675685669257957,2.7303216299233926,3.2923987641359664,1.9440602281335664,0.5364555143033344,6.796199406801368,2.2469812507127616,3.3251750893889294,3.4489081734377285,50.0,110.0,1.0
99.0,-2.913276222726583,4.334971613473905,0.0,2.5293826014686327,4.286835089205687,2098.012867,1.0,1.3747792804922792,0.38104705041869025,0.2730249885279854,1.01554598254276,0.012652661980785544,0.008947284442416424,0.00840160645523796,0.029604179659067545,3.8574526331092356,2.816927432907912,2.714528235417622,5.77022308348511,7.7545375873916536,1.9140601688850092,2.714682316244158,9.89107879184323,50.0,110.0,1.0
