i,logB,maxloglikelihood,SNR_comb_signal,SNR_comb_median,SNR_comb_global,run_time,duration,width_median,width_plus,width_minus,width_global,amplitude_median,amplitude_plus,amplitude_minus,amplitude_global,phase_median,phase_plus,phase_minus,phase_global,spacing_median,spacing_plus,spacing_minus,spacing_global,fmin_median,fmax_median,duration_median
0.0,-5.6032382614811125,10.783238793704234,0.0,6.776679564790513,9.59097417338285,10203.0,2.0,0.9170809486156521,0.48007877881300165,0.3039489066606883,1.2651469488071951,0.015327356933088357,0.007048975312502915,0.009631945238112564,0.01849811249629235,3.7785267588568954,1.0741759096195902,2.165753446273647,3.812608758902552,5.045124460992215,3.398233609762361,0.00893664307686759,5.040655247628002,50.0,339.0,2.0
1.0,-6.417950557453436,5.8508255100569455,0.0,3.1794506272025425,6.046771264060835,7794.0,2.0,0.92587406792601,0.5686731497392605,0.321173009429468,1.9259726848221717,0.008749925042692674,0.006767303379241427,0.005920180728339497,0.013509488083334758,3.2076863607475197,3.2776205800632496,2.3101583665083796,7.428363182517694,7.484121443832443,1.9013394068241851,2.657992053181742,9.788673795516628,50.0,339.0,2.0
2.0,-5.684717724296984,9.462609765079863,0.0,4.5154758208761905,8.516133764585621,9503.0,2.0,0.9023938709756415,0.6052475925036264,0.30021486004428866,1.9425599246621703,0.012101745843777802,0.007636662176718295,0.00679737122480119,0.014715433611136638,3.514242006852486,2.730953820011475,2.4373760257630974,5.717273061596448,7.130657239902942,1.9264780313817527,2.683892413536385,6.044273855233906,50.0,339.0,2.0
3.0,-6.143380012556078,7.640347754058176,0.0,3.1386464296586594,8.432485100855986,8133.0,2.0,0.8719578596848384,0.616411486861468,0.2811882879096571,0.7625125551354754,0.008916423607374775,0.00834730880536028,0.006099473783348523,0.021038614156569917,3.4034616605519865,3.229424180345222,2.2008325522250147,1.9946674642166098,7.5429774832381975,1.7569748425209708,2.6761753025497432,5.076115017032283,50.0,339.0,2.0
4.0,-6.883740347070382,8.500113127729737,0.0,2.055942826527477,8.817019690843697,9002.0,2.0,0.8095955393642629,0.6057713455946385,0.24533503872336837,0.518351341173573,0.006167055247644151,0.007683739169352796,0.00426616203687029,0.030008328983961753,3.174793377054965,2.925806039597363,2.1904450750623177,4.001180606056397,7.735421129552287,1.6276928537383677,2.773600525005844,5.975085625875814,50.0,339.0,2.0
5.0,-6.378344437502824,6.297829983222539,0.0,3.125805989459561,8.282533673091605,8388.0,2.0,0.8688692870478318,0.5748097795135305,0.2828786212544194,0.8713899911598268,0.0088044055575595,0.007539627713980614,0.0059298095264507505,0.020403456677868387,3.341774984814221,2.603947394663709,2.3179227686610284,4.1427905763165205,7.424362544577695,1.8479157047611618,2.7639430131074114,5.762081420247749,50.0,339.0,2.0
6.0,-6.038577517574717,7.421900596276651,0.0,3.8256089789310734,7.8697767096661835,8676.0,2.0,0.812664372612958,0.5356200035006605,0.2528532551702175,0.5389368719170279,0.01123818118495834,0.007973068051789507,0.0076829162279120795,0.028994081068696893,3.1280158577773514,3.2525993759108425,2.3629215509642583,0.41051740061216335,7.496815081207716,1.7447677710247014,2.9987879416107424,7.500904103446555,50.0,339.0,2.0
7.0,-6.621948469353018,6.415105750575453,0.0,2.842144544148259,6.916515123122476,7450.0,2.0,0.8940276813792886,0.6018789637491265,0.30657084546231395,0.5470376194421405,0.008048497035452077,0.007309154326676181,0.00549739420957309,0.029468564864601775,3.491103301356692,2.823054654720116,2.483491489610458,5.972351497942085,7.7050039714522125,1.7366133581844405,2.7609451381754795,9.898278935159208,50.0,339.0,2.0
8.0,-6.467394337608109,6.871406037501042,0.0,2.8216123543743445,8.961361900083945,8750.0,2.0,0.8477930796055978,0.5875992067677828,0.26805751591485305,0.7459789592912218,0.008172516228710784,0.008385939176317359,0.005603127748500548,0.018376263912282805,2.93164432890469,3.4344725002655907,1.8185975399512055,1.7607734481970596,7.51005246394052,2.003905978870298,2.7463670087120784,3.3253868495433836,50.0,339.0,2.0
9.0,-6.111945698317026,7.329751703597379,0.0,3.703758895811803,7.193630470871893,8128.0,2.0,0.9229798289115047,0.6342630597102402,0.3256605115369574,0.9743576231068172,0.010370070622115948,0.008133070106149744,0.006580601999163079,0.019640451279898646,3.515927563800002,3.568138172295157,2.492697430507623,7.36098837616543,7.822049100037612,1.5363455570855162,3.125211371814032,7.8257687162027585,50.0,339.0,2.0
10.0,-6.630622907501999,5.369119597893149,0.0,2.58075558497357,6.601136696613293,7419.0,2.0,0.9091371305546496,0.5842710157261064,0.31641609935153525,0.8666085998826443,0.007170726171128361,0.007112693455128675,0.0048770046640209605,0.016131593714303352,3.228597806842786,3.2647323237000077,2.2131403342447866,1.1428738509339293,7.494553451078943,1.8035744209998974,2.622614948426551,5.554619133748983,50.0,339.0,2.0
11.0,-6.755683411806988,4.951612434147759,0.0,2.1888110532638776,6.627177553210419,6875.0,2.0,0.901006616947682,0.6230168097403153,0.31046843769126076,0.5080404981955982,0.006124689815190312,0.0065341503337343464,0.004262886334717333,0.0213031940513211,3.2588002202328554,3.079266563037103,2.3145624153848794,0.08670398142995875,7.608856208591392,1.6799238517116661,2.6637916697837154,5.180113485268078,50.0,339.0,2.0
12.0,-6.978537908176846,3.673990499665926,0.0,1.7401767203062097,7.0966851610807336,6061.0,2.0,0.8214908740700795,0.5998853173052674,0.24828790257509004,0.5225423155112613,0.005104540663459568,0.005759368331558986,0.0035691289155294005,0.027895482011044657,3.318122050760542,2.906600474251522,2.348954963865559,4.41238782356994,7.563186611588838,1.7503744413691393,2.7113036234666144,8.071463526812824,50.0,339.0,2.0
13.0,-6.9181352069351485,4.930402722181091,0.0,1.9188213291214937,6.607601916839328,6886.0,2.0,0.8570289882186316,0.570433953634422,0.27077653903081667,0.7260887871406104,0.005488161199332807,0.0062651492427149725,0.003841224713001584,0.019523669574863955,3.095591885703559,3.124133397595818,2.1122935143650396,1.3204574469489079,7.482897992628441,1.8105709562312757,2.631403840132485,6.681332729221244,50.0,339.0,2.0
14.0,-5.448273780460175,9.617853643983338,0.0,5.445150400803576,8.19778097401295,10064.0,2.0,0.8995386756722294,0.5509210167149716,0.3038622032438342,0.936885064063691,0.01432559457661979,0.00771134360187431,0.007973567158807208,0.021107785466958528,1.7449827414775405,3.875438061337261,0.8557052681446519,1.1829497982764956,6.721846544498771,2.1240493474698052,1.8684260448876255,6.71791237824725,50.0,339.0,2.0
15.0,-6.428839062201634,8.453154166146847,0.0,3.648733568724917,7.440444476409549,9176.0,2.0,0.8674445353975204,0.5321114780113232,0.2801919488635327,1.1063979885724473,0.011008454527354071,0.009830204879943343,0.007637885105943108,0.020149220832637545,2.359211053459841,3.3048599248544672,1.267633961375006,1.8389330388441436,8.544430431699489,0.4772177883644666,3.0029394169470773,8.741875966931161,50.0,339.0,2.0
