i,logB,maxloglikelihood,SNR_comb_signal,SNR_comb_median,SNR_comb_global,run_time,duration,width_median,width_plus,width_minus,width_global,amplitude_median,amplitude_plus,amplitude_minus,amplitude_global,phase_median,phase_plus,phase_minus,phase_global,spacing_median,spacing_plus,spacing_minus,spacing_global,fmin_median,fmax_median,duration_median
1,11.815771789712757,34.778964207780355,16.618395308290662,13.800365024086485,13.771427219218976,3:05:15.952309,12,0.12502507562011317,0.0555827152012644,0.030660834685518265,0.08729768988982557,0.08995139384964093,0.016227246441510357,0.014962826835056328,0.11199226782201618,0.2599857693260893,0.0006170220270539928,0.0006192841461259424,0.25960773585941527,25.00001714540153,0.0005201646413794947,0.0005387858013889968,24.99976666133428,50.0,1287.5,12.0
3,9.921158056350544,33.734998441439885,16.67993082231244,16.436600607421664,16.676662316630356,3:39:57.902171,12,0.16113505179382537,0.08672005418184173,0.055854239418682256,0.0858025823620383,0.06714016252609567,0.01696195091195088,0.011430489833963442,0.0984769844597892,0.5204937230906327,0.0014095454716838152,0.0016880169654907018,0.5215838549182829,12.500266027553199,0.00029530196669469433,0.00027584871397223765,12.50016497937678,50.0,1287.5,12.0
5,26.124854658237176,55.20385976388005,16.64429874256091,18.371153156345386,18.63581000963882,4:31:31.709767,12,0.3238361850190523,0.07660509254110559,0.09299847867941002,0.3337086693230711,0.07622071465932814,0.010564593447239687,0.007683088193520843,0.07591530564749539,0.26026271400094486,0.0007402081162038443,0.0007953303190479932,0.2602986631955442,25.000138104048517,0.0005931308140354474,0.0006441054386847611,25.000100400693732,50.0,1287.5,12.0
7,-4.648420112386773,19.41905831069187,16.575891855307685,7.481127110134795,16.823668857813527,4:24:30.611376,12,0.30318812158499686,0.5895046967297666,0.17487383307269105,0.9710922865734674,0.03631885983456319,0.0262442331002634,0.022237118397037514,0.0287243627491102,0.5677510799680843,0.22004047528104664,0.2485794332120025,0.5087384363062559,32.445080884864716,10.413016658360199,15.973565969028598,12.502458020137137,50.0,1287.5,12.0
9,41.699636538987335,65.76755367737294,16.6283821158814,17.602497828773373,17.625164795742226,3:24:50.241895,12,0.14806255806849952,0.059595063625257405,0.044004992205398955,0.1390381418686964,0.10520638422980495,0.022179176987865243,0.014948870887873639,0.10939313819566909,0.2610610153085295,0.0006752670453841203,0.0017900220623824903,0.2615611090218389,24.99920523061847,0.001218877037359789,0.0006505995896510797,24.998626156407397,50.0,1287.5,12.0
11,-5.7152060697466345,11.912930600160673,16.589935212169703,4.217332072139404,12.726613247851073,2:34:30.251491,12,0.22482565678309036,0.6713087868735297,0.11522757675541201,0.08643456716212512,0.021077526085438836,0.022815310799285317,0.014944872808573496,0.0656044447210726,0.5150579427560058,0.31460594545248977,0.33728762699748627,0.8242358524482064,25.70547618438154,13.151300034022945,13.903329403190522,9.759302438357821,50.0,1287.5,12.0
13,-5.079193532124768,10.549865810049946,16.645951138792757,5.29120483117038,9.554449481643559,2:32:23.050468,12,0.2617635898169274,0.7402532663049176,0.16131184877612362,0.14927051216068593,0.02604102251685035,0.04652894280854711,0.016044139404649615,0.07167693165431728,0.5787994151523081,0.2939177037083063,0.5019014793331518,0.8695412047969544,28.881994530025544,9.25704762682988,20.42630260083221,38.138469750882,50.0,1287.5,12.0
15,-5.103668278688659,9.761804879067489,16.61540194036367,5.958042803736149,10.143230520793963,2:41:24.822539,12,0.38107671029793644,0.9135796946830965,0.254392264568087,0.08874565063842005,0.023762116402336553,0.014563932079582696,0.015280199226553626,0.06830003797162545,0.45667206285279927,0.35577703823249884,0.2826581687829727,0.3594992473502153,26.738208243030964,10.83214934727074,13.912581311908905,17.25199658288447,50.0,1287.5,12.0
17,5.4531297091959114,24.128891126131855,16.616182043574476,11.953443491498309,11.716278303830839,2:37:11.885965,12,0.1651519750055302,0.10688748157837175,0.058522817851177564,0.11711067309788725,0.08343760277230167,0.02160074184193614,0.016479614484322308,0.09894238122137071,0.1735333916097066,0.001110203029038359,0.0013024684169941347,0.17217126435040378,37.500310791841194,0.00212696045074523,0.002433123509398172,37.50261860335344,50.0,1287.5,12.0
19,13.747436740921174,37.41975120190634,16.588663709703336,14.60076623123451,14.808698630060382,3:17:16.786210,12,0.1398535827576229,0.06622408770457583,0.04196425364854736,0.1563107936444629,0.08977842821335555,0.01860156062941215,0.01501095500681325,0.08642880158772494,0.2602247013327164,0.0012380811119851454,0.0015905368696982336,0.2612542319355525,24.999880505863594,0.0009636808087520876,0.0008368317936522374,24.999277600164753,50.0,1287.5,12.0
