i,logB,maxloglikelihood,SNR_comb_signal,SNR_comb_median,SNR_comb_global,run_time,duration,width_median,width_plus,width_minus,width_global,amplitude_median,amplitude_plus,amplitude_minus,amplitude_global,phase_median,phase_plus,phase_minus,phase_global,spacing_median,spacing_plus,spacing_minus,spacing_global,fmin_median,fmax_median,duration_median
0,21.21374284575147,47.0109277579662,13.823675300380621,13.669621494321472,14.205366951712545,16:45:31.186222,2,0.5610149174683855,0.09097095556700141,0.04436898457514504,0.501844376539082,0.03045727238866692,0.0031839052911485713,0.0033338797905769872,0.03394102246304951,0.2596433170721616,0.0009590089249968958,0.0009264159115232595,0.25974715468973825,50.00019823312754,0.001838352745942018,0.002330895650622722,50.00035460199719,50.0,2525.0,2.0
1,13.634062930651389,39.18498435047677,13.814282965872755,13.09819655820189,13.480461189691777,20:18:19.770450,2,0.6117746806868748,0.13984593125057632,0.08005886323102551,0.5218954164671814,0.02775248833884983,0.003599067437543353,0.0036899221829651344,0.03150202651653286,0.2607612626465865,0.0009697183678629151,0.0009515271887457488,0.2607189349249837,49.99768515366906,0.002054252628049369,0.0019073725555429633,49.99755749673593,50.0,2525.0,2.0
2,27.950008603110263,54.79977653718514,13.814885835300233,14.385844229562855,14.789464450850174,17:27:34.641726,2,0.5354781182528849,0.05729929404787648,0.02629097715140538,0.5014801648512085,0.03311804791647986,0.0029586168303336116,0.0031255198886617763,0.03548328938072036,0.26169286828179095,0.0009044232068959324,0.0009384725052718479,0.2616340544134065,49.99617381685942,0.0019122967905431665,0.0017381376082425959,49.99635252556324,50.0,2525.0,2.0
3,19.00107716520387,44.33882607620903,13.86793933823951,13.524724477042266,13.822795233892602,15:45:53.709257,2,0.6192861287050778,0.15723625873987912,0.08556646380721089,0.5077280008900287,0.02835137080671648,0.0036986238259125587,0.004013001360296857,0.03276509587209761,0.25971889034292817,0.0012345367831400056,0.001416435108482772,0.2596953671992488,50.00192673351787,0.002075106962223572,0.0019481093369861924,50.002152385331335,50.0,2525.0,2.0
4,7.787978269142501,32.546764371505326,13.805108275952282,14.700532381641043,15.161199787826137,18:14:29.381035,2,0.5562837058296967,0.09062154744367668,0.04206952821133425,0.5003354057327694,0.019423510043340773,0.002065273206994553,0.00230232185632823,0.021424817665280652,0.7765394289603028,0.003423904035418368,0.003324732430742827,0.7763929085179978,16.667894657187457,0.0006504522303849569,0.0006689657289875584,16.667882313324895,50.0,2525.0,2.0
5,24.154224683501894,52.04609674757582,13.842339477787194,14.242923596390256,14.451018967206785,15:17:40.500951,2,0.5276347671900348,0.044267794588539466,0.020612241396748443,0.5001230902046799,0.032924415303352404,0.002816572335923591,0.002987469591728825,0.03455648127850421,0.26012338773280014,0.001042006455356237,0.0009082094833970933,0.2599033702326157,49.99941060317957,0.0015653734859455426,0.0014955604017856672,50.00006099493173,50.0,2525.0,2.0
6,46.45792294867119,71.19517150960655,13.877288535266583,15.861011544207557,16.12636312917726,12:56:52.448938,2,0.5535279074388987,0.07750761502226211,0.039551040593878706,0.5002121110826969,0.03552221237992226,0.003146607483958175,0.0034694587770740734,0.038481740034428155,0.2611565684080304,0.000927724210771308,0.0009835634857620623,0.26076061656738253,49.998042230353306,0.0019324509276614776,0.001808736956192547,49.99930506052654,50.0,2525.0,2.0
7,21.693961526273473,46.399230282862995,13.779244795122446,13.717273823458024,14.226378504355763,16:03:05.447670,2,0.5945575783012634,0.12723097889829527,0.06911163619375338,0.5232510933186558,0.029597648028924894,0.0034924921804287065,0.0036748909864154355,0.033206013037657627,0.2599073894342785,0.001155461945137326,0.0010592463854436907,0.26011553852545305,49.99969405831413,0.0018376430042224001,0.0018150821580391607,49.99974029183762,50.0,2525.0,2.0
8,8.004852730132553,32.04360247604174,13.798854269496934,11.909291039256821,12.432302822167522,15:58:43.351126,2,0.5927479505389605,0.13770507576502555,0.06816949032865005,0.5005138489511712,0.025746493061958208,0.0034044534616237306,0.00370092855327046,0.029838917043250007,0.25926987131798285,0.0011383737768918545,0.0015358848280694892,0.2598682933803133,50.00233541035873,0.002125070254997752,0.0019540210837902805,50.001243530632145,50.0,2525.0,2.0
9,21.657541444584712,51.06619445877864,13.834456001188492,14.025338034464433,14.145575215013885,21:30:21.596271,2,0.5402085144519,0.06184864273894786,0.02962391406233944,0.5054477199085439,0.03198592299476302,0.0029518712025044247,0.003155676748205917,0.033628553188849136,0.26107032640786004,0.0009271392997685091,0.0008596411198767973,0.26066166782145467,49.998735837275774,0.0016053236816588878,0.0017386943913422215,49.9993246248907,50.0,2525.0,2.0
10,18.243515269662584,44.206045640299244,13.811884016811108,15.011584480780835,15.8360207894549,19:39:52.327126,2,0.5673603289322409,0.10523500927101503,0.04993389078831745,0.5008691275896552,0.023621481917672098,0.002556831320683829,0.0027868331297761714,0.026940875966785773,0.5200752169991015,0.0026138204361169093,0.0022839878336422537,0.5200397456133882,24.999772131171248,0.0010738718712417494,0.0010427380029582878,24.99988839360953,50.0,2525.0,2.0
11,0.7853571499591271,27.209803730478992,13.812496098059885,11.339812172011994,11.938441252419558,18:10:44.903435,2,0.5753971327157577,0.11590688726924059,0.05694291342256219,0.5001182141884467,0.025052222084437845,0.003301292644858858,0.0035270881009284195,0.028839287837889062,0.25830505633696765,0.0014505023716109289,0.0013661375795181452,0.2578534613620242,50.005007767195515,0.002664634061709137,0.0036033623532745196,50.0058421615083,50.0,2525.0,2.0
12,13.643230206431202,40.34232362631627,13.739318490537867,13.005837835517623,13.107178710959907,14:04:24.698844,2,0.5437746170941982,0.0665630857852273,0.03236920835623214,0.5006052936087585,0.02973445345575221,0.003039856151729834,0.0031407271046114058,0.03156241385692254,0.2591149617352167,0.000986794456947604,0.0010931072254929397,0.25965995711224465,50.00136110597769,0.0017863462123628437,0.0017644700568482108,50.000777275329575,50.0,2525.0,2.0
13,4.410876632623933,30.410310560413482,13.881046137038428,13.439163444609669,13.584650310829394,13:21:37.010884,2,0.6402332508263854,0.17669698690945068,0.10013468637631817,0.6080153708420823,0.01962586356924846,0.0027718169536933637,0.0029752651901061543,0.02043505812344634,0.5160196836441944,0.002522180028347587,0.00264502793487853,0.516511971943292,25.00106933862084,0.0010829275993167187,0.0010432878462545148,25.001093701985994,50.0,2525.0,2.0
14,-6.123351807625103,12.434620977565343,13.841889317497508,5.012994794905935,8.33900731224177,15:28:27.174767,2,0.9168785753595176,0.46237828920166224,0.3042220742243267,0.6000005314684431,0.009722940540081309,0.005430509237748942,0.006339329701989995,0.02254531769051161,0.3776922180480214,0.3978089587111094,0.31337237224677184,0.5940958604672728,64.02425989459041,12.578826439151129,35.25661803135155,76.59480914069351,50.0,2525.0,2.0
15,8.989268531794645,35.56427821816068,13.823727231086353,12.399394663491709,13.046090152337921,22:21:21.985630,2,0.5673408908678933,0.10610019210817212,0.04972920188004837,0.5016700812721435,0.027450208263985375,0.003284613678748438,0.0035139838096058043,0.031184860224039813,0.2592570589030457,0.0013751209427209643,0.001237547325881605,0.2594111972930295,50.00165171906384,0.0019434595615166472,0.001983916873768976,50.00106029344468,50.0,2525.0,2.0
16,28.521189780177224,58.53430194403429,13.82527918256393,14.748661678412859,14.695948976218977,"1 day, 0:33:27.024788",2,0.5319061049056387,0.04972648527989609,0.023881070398221738,0.5012736827231037,0.0339857802788469,0.002868635797729252,0.0030393308729804065,0.03515747788330971,0.25899453830699565,0.0010031995611597955,0.0009982007163762407,0.2590494168180472,50.0010483914364,0.0016882994257940709,0.0018249507514056518,50.00108718059955,50.0,2525.0,2.0
17,38.18380709865288,64.69565462310361,13.825163507415136,15.38905482544197,15.591589628193011,15:48:24.145810,2,0.5290163672779917,0.04592072593412866,0.021668617388511224,0.5003485747376654,0.03562841336462671,0.0028189027112912254,0.0029462240422191838,0.03739204123622233,0.2604740944762221,0.0008196471010651352,0.0007866606219235628,0.2603328320328936,50.00074076143249,0.0013939781433194298,0.0014393447946758897,50.0009108187523,50.0,2525.0,2.0
